control,simulation_boundary_s,reference_timestamp_ns,anchor_frame,scored_frame,left_reference_anchor_rad,left_reference_scored_rad,left_sonic_neutral_rad,left_sonic_scale_rad,left_positive_measured_rad,left_positive_velocity_rad_s,left_positive_proposed_target_rad,left_positive_applied_target_first_rad,left_positive_applied_target_last_rad,left_positive_requested_torque_nm,left_positive_applied_torque_nm,left_positive_contact_count,left_positive_raw_decoder_output,left_sonic_measured_rad,left_sonic_velocity_rad_s,left_sonic_proposed_target_rad,left_sonic_applied_target_first_rad,left_sonic_applied_target_last_rad,left_sonic_requested_torque_nm,left_sonic_applied_torque_nm,left_sonic_contact_count,left_sonic_raw_decoder_output,left_sonic_policy_presented_reference_rad,right_reference_anchor_rad,right_reference_scored_rad,right_sonic_neutral_rad,right_sonic_scale_rad,right_positive_measured_rad,right_positive_velocity_rad_s,right_positive_proposed_target_rad,right_positive_applied_target_first_rad,right_positive_applied_target_last_rad,right_positive_requested_torque_nm,right_positive_applied_torque_nm,right_positive_contact_count,right_positive_raw_decoder_output,right_sonic_measured_rad,right_sonic_velocity_rad_s,right_sonic_proposed_target_rad,right_sonic_applied_target_first_rad,right_sonic_applied_target_last_rad,right_sonic_requested_torque_nm,right_sonic_applied_torque_nm,right_sonic_contact_count,right_sonic_raw_decoder_output,right_sonic_policy_presented_reference_rad
0,0.0,1200000000,9,11,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5651714457652562,0.0,0.486891121836032,0.486891121836032,0.486891121836032,"[-7.7574572012775524, -4.64747568236487, -2.41998660409783, -0.8160978862027175, 0.3403942679348626, 1.171958107788429, 1.7651291590560918, 2.1818934667461853, 2.4671813489135426, 2.653908948933994]","[-7.7574572012775524, -4.64747568236487, -2.41998660409783, -0.8160978862027175, 0.3403942679348626, 1.171958107788429, 1.7651291590560918, 2.1818934667461853, 2.4671813489135426, 2.653908948933994]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",not_applicable_applied_sequence,0.5651714457652562,0.0,0.6086964011192322,0.6086964011192322,0.6086964011192322,"[4.313254741399109, 2.340810667328761, 0.8613990627533177, -0.22782370786424, -1.0115551303777557, -1.558308296363026, -1.9228057447954874, -2.1483441247288866, -2.2689274644925006, -2.311099253479453]","[4.313254741399109, 2.340810667328761, 0.8613990627533177, -0.22782370786424, -1.0115551303777557, -1.558308296363026, -1.9228057447954874, -2.1483441247288866, -2.2689274644925006, -2.311099253479453]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.17288779,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5651714457652562,0.0,0.5011098564751922,0.5011098564751922,0.5011098564751922,"[-6.348402921950157, -4.261197303165408, -2.7740484777606476, -1.7153020990155907, -0.9658891218910659, -0.4418222960021687, -0.08301931782424443, 0.15402910629354238, 0.3011707678406328, 0.38193852720635046]","[-6.348402921950157, -4.261197303165408, -2.7740484777606476, -1.7153020990155907, -0.9658891218910659, -0.4418222960021687, -0.08301931782424443, 0.15402910629354238, 0.3011707678406328, 0.38193852720635046]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",not_applicable_applied_sequence,0.5651714457652562,0.0,0.6188536286354065,0.6188536286354065,0.6188536286354065,"[5.319820041404784, 3.5135099118199227, 2.1107646335416437, 1.038014889359765, 0.23125472371771671, -0.3633992951805194, -0.7903638197756218, -1.0857316823121828, -1.2785366977723092, -1.391963708990171]","[5.319820041404784, 3.5135099118199227, 2.1107646335416437, 1.038014889359765, 0.23125472371771671, -0.3633992951805194, -0.7903638197756218, -1.0857316823121828, -1.2785366977723092, -1.391963708990171]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.14361507,0.5651714
1,0.02,1220000000,10,12,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5423683485579855,-1.3099374303225242,0.5943625738399657,0.486891121836032,0.5943625738399657,"[2.7664271915190977, 2.822913511639939, 2.8370500261715677, 13.469465855609021, 11.24298814879727, 9.404796942123358, 7.890574749480485, 6.643206162377141, 5.613901559945384, 4.779432972618967]","[2.7664271915190977, 2.822913511639939, 2.8370500261715677, 13.469465855609021, 11.24298814879727, 9.404796942123358, 7.890574749480485, 6.643206162377141, 5.613901559945384, 4.779432972618967]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",not_applicable_applied_sequence,0.5798990278665836,0.8162001696480227,0.5668730139732361,0.6086964011192322,0.5668730139732361,"[-2.295469152813983, -2.237960241882884, -2.1508140964245936, -6.188024848258017, -5.530293632654521, -4.934357478423647, -4.400763238666242, -3.925351309963356, -3.501883925065261, -3.1235717612883622]","[-2.295469152813983, -2.237960241882884, -2.1508140964245936, -6.188024848258017, -5.530293632654521, -4.934357478423647, -4.400763238666242, -3.925351309963356, -3.501883925065261, -3.1235717612883622]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.2946996,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5502233838507544,-0.8370748196515454,0.4589419011247461,0.5011098564751922,0.4589419011247461,"[0.4138641675374366, 0.41009952416854034, 0.3805664503527817, -3.8459959118604417, -3.2713804591873252, -2.851968226936961, -2.538274800310263, -2.297631565426422, -2.1082786999176344, -1.8953578911960465]","[0.4138641675374366, 0.41009952416854034, 0.3805664503527817, -3.8459959118604417, -3.2713804591873252, -2.851968226936961, -2.538274800310263, -2.297631565426422, -2.1082786999176344, -1.8953578911960465]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",not_applicable_applied_sequence,0.579656665009104,0.8446589917866159,0.5984814167022705,0.6188536286354065,0.5984814167022705,"[-1.4444270912497137, -1.450493293705835, -1.421649461667069, -3.385786667908793, -3.287768145706215, -3.111117904325984, -2.8858896175605335, -2.6328150866010045, -2.3662217944579838, -2.0960029059709018]","[-1.4444270912497137, -1.450493293705835, -1.421649461667069, -3.385786667908793, -3.287768145706215, -3.111117904325984, -2.8858896175605335, -2.6328150866010045, -2.3662217944579838, -2.0960029059709018]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.20243016,0.5651714
2,0.04,1240000000,11,13,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5328830111972576,0.3384211713904054,0.5789596692173334,0.5943625738399657,0.5789596692173334,"[3.9574966489112393, 3.185223503652157, 2.4796013841876117, 1.848753508513139, -0.231757303270272, -0.7299207672887595, -1.1148056430179785, -1.400812916413614, -1.6058420401898128, -1.744928602200242]","[3.9574966489112393, 3.185223503652157, 2.4796013841876117, 1.848753508513139, -0.231757303270272, -0.7299207672887595, -1.1148056430179785, -1.400812916413614, -1.6058420401898128, -1.744928602200242]","[2, 2, 2, 2, 4, 4, 4, 4, 4, 4]",not_applicable_applied_sequence,0.5887650809554402,0.09739218572631761,0.5511558055877686,0.5668730139732361,0.5511558055877686,"[-2.78389728870146, -2.477009635632731, -2.19786972193202, -1.9422575031921807, -3.2642597736872245, -3.040539800655223, -2.747615853404918, -2.4260600025989247, -2.1000948612827566, -1.7836244580943175]","[-2.78389728870146, -2.477009635632731, -2.19786972193202, -1.9422575031921807, -3.2642597736872245, -3.040539800655223, -2.747615853404918, -2.4260600025989247, -2.1000948612827566, -1.7836244580943175]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.3411927,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5332937966676593,-0.8981087970351342,0.44100503660172863,0.4589419011247461,0.44100503660172863,"[-1.702167337091442, -1.5263442778533802, -1.365767794097593, -1.2187690764493162, -2.8614613706235197, -4.2324813508960535, -5.393415627505685, -6.232108651040189, -6.814230554401734, -7.193315823873902]","[-1.702167337091442, -1.5263442778533802, -1.365767794097593, -1.2187690764493162, -2.8614613706235197, -4.2324813508960535, -5.393415627505685, -6.232108651040189, -6.814230554401734, -7.193315823873902]","[2, 2, 2, 2, 4, 4, 4, 4, 4, 4]",not_applicable_applied_sequence,0.5921863537172288,0.38878804674577355,0.6182616353034973,0.5984814167022705,0.6182616353034973,"[-1.8289551707409926, -1.5696944279694018, -1.321287686139694, -1.0856939280140094, 1.096113706376178, 0.9972865588705291, 0.9377552488882117, 0.9050766245589219, 0.8909329374560477, 0.8896559903925878]","[-1.8289551707409926, -1.5696944279694018, -1.321287686139694, -1.0856939280140094, 1.096113706376178, 0.9972865588705291, 0.9377552488882117, 0.9050766245589219, 0.8909329374560477, 0.8896559903925878]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.14531873,0.5651714
3,0.06,1260000000,12,14,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5469407892115461,0.7931487760090324,0.6418235324166272,0.5789596692173334,0.6418235324166272,"[-1.8307962591538671, -1.8740784122906153, -1.8831231713674796, 4.3640460276081585, 3.795392891358225, 3.34484850256397, 3.421213220504156, 3.5286408055299123, 3.619044293026147, 3.69294384608056]","[-1.8307962591538671, -1.8740784122906153, -1.8831231713674796, 4.3640460276081585, 3.795392891358225, 3.34484850256397, 3.421213220504156, 3.5286408055299123, 3.619044293026147, 3.69294384608056]","[4, 4, 4, 4, 4, 6, 6, 6, 6, 6]",not_applicable_applied_sequence,0.5861193254273335,-0.3139551927172928,0.5671349763870239,0.5511558055877686,0.5671349763870239,"[-1.4841494035598783, -1.205265869523393, -0.948240318404896, 0.9074483042866972, 0.3953361868443588, -4.036871354180351, -8.08047647295327, -11.669744227059452, -14.206024499794733, -16.310759396318154]","[-1.4841494035598783, -1.205265869523393, -0.948240318404896, 0.9074483042866972, 0.3953361868443588, -4.036871354180351, -8.08047647295327, -11.669744227059452, -14.206024499794733, -16.310759396318154]","[0, 0, 2, 2, 4, 4, 4, 6, 6, 8]",-0.29392862,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5224505035244621,-0.10443563967303779,0.5120744645775913,0.44100503660172863,0.5120744645775913,"[-7.412254339090557, -7.50540745935837, -7.499859453738048, -0.3753158725882907, -1.0779747176909373, -1.6005403800403308, -6.110249801292256, -9.907365961288177, -12.784614138064391, -14.92048275483266]","[-7.412254339090557, -7.50540745935837, -7.499859453738048, -0.3753158725882907, -1.0779747176909373, -1.6005403800403308, -6.110249801292256, -9.907365961288177, -12.784614138064391, -14.92048275483266]","[4, 4, 4, 4, 4, 6, 6, 6, 6, 6]",not_applicable_applied_sequence,0.5968142796991552,0.19466475251773885,0.6546710133552551,0.6182616353034973,0.6546710133552551,"[0.89729827735809, 0.9110472171920112, 0.9288534182720396, 3.30518407648301, 1.3018320379145658, 0.0319685448582252, -0.9627259023033243, -1.639987133398816, -7.162809732450275, -11.801799323119717]","[0.89729827735809, 0.9110472171920112, 0.9288534182720396, 3.30518407648301, 1.3018320379145658, 0.0319685448582252, -0.9627259023033243, -1.639987133398816, -7.162809732450275, -11.801799323119717]","[0, 0, 2, 2, 4, 4, 4, 6, 6, 8]",-0.040947903,0.5651714
4,0.08,1280000000,13,15,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5619826751819198,0.6599068717745384,0.782750796205088,0.6418235324166272,0.782750796205088,"[3.748883129162432, 1.8365145143776997, 0.34244752168701087, 13.223192565019515, 12.00537093197463, 11.095567953163108, 10.42272075740018, 9.93983954729349, 9.565379913000722, 9.233922328467905]","[3.748883129162432, 1.8365145143776997, 0.34244752168701087, 13.223192565019515, 12.00537093197463, 11.095567953163108, 10.42272075740018, 9.93983954729349, 9.565379913000722, 9.233922328467905]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6023787754135546,2.7391024189952358,0.5350193977355957,0.5671349763870239,0.5350193977355957,"[-20.773054491721858, -24.149865873052402, -26.635278929303016, -31.591662094017583, -32.33056312806053, -32.63406082703261, -32.60120248787327, -32.313919994244415, -31.834125502398024, -31.213035056111497]","[-20.773054491721858, -24.149865873052402, -26.635278929303016, -31.591662094017583, -32.33056312806053, -32.63406082703261, -32.60120248787327, -32.313919994244415, -31.834125502398024, -31.213035056111497]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.38945502,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5383312473920564,2.1968917065671913,0.5625880635529054,0.5120744645775913,0.5625880635529054,"[-16.461756352155568, -17.147021670942554, -17.486806852523546, -12.569339721972703, -12.893515225241455, -13.031298693041101, -13.025281831290933, -12.916813239044966, -12.729286054216553, -12.478910443341402]","[-16.461756352155568, -17.147021670942554, -17.486806852523546, -12.569339721972703, -12.893515225241455, -13.031298693041101, -13.025281831290933, -12.916813239044966, -12.729286054216553, -12.478910443341402]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6198574723629463,2.9406584748119626,0.5500574707984924,0.6546710133552551,0.5500574707984924,"[-15.102058930815263, -17.543343854922835, -19.299016605114563, -30.87705925654968, -31.249301662033766, -31.312342366938083, -31.137140078198932, -30.778823625773523, -30.285640911754026, -29.694437781894337]","[-15.102058930815263, -17.543343854922835, -19.299016605114563, -30.87705925654968, -31.249301662033766, -31.312342366938083, -31.137140078198932, -30.778823625773523, -30.285640911754026, -29.694437781894337]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.3444598,0.5651714
5,0.1,1300000000,14,16,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5904755448979433,1.6052477277298607,0.594140082144928,0.782750796205088,0.594140082144928,"[8.926988667691345, 8.631734618991494, 8.327117458222896, 8.016258632734651, -10.98913541530386, -9.941741151744141, -9.029203085298255, -8.23156830231971, -7.5324291944386985, -6.918196310978593]","[8.926988667691345, 8.631734618991494, 8.327117458222896, 8.016258632734651, -10.98913541530386, -9.941741151744141, -9.029203085298255, -8.23156830231971, -7.5324291944386985, -6.918196310978593]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6684161336327006,2.7377553224065583,0.5013654828071594,0.5350193977355957,0.5013654828071594,"[-30.49135787252623, -29.70125878353157, -28.867972632812013, -28.01108759312726, -30.480818934477078, -29.381273569716214, -28.30092794155859, -27.245003940766583, -26.217769151518148, -25.220726184592422]","[-30.49135787252623, -29.70125878353157, -28.867972632812013, -28.01108759312726, -30.480818934477078, -29.381273569716214, -28.30092794155859, -27.245003940766583, -26.217769151518148, -25.220726184592422]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.49222562,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.5787363834029706,1.6775276681009765,0.5255264232351493,0.5625880635529054,0.5255264232351493,"[-12.183459696794744, -11.856464816841157, -11.506173483359989, -11.143585355387449, -14.450579367214708, -14.231933523866847, -14.020048470660102, -13.817650532941416, -13.626393849348368, -13.44718878188566]","[-12.183459696794744, -11.856464816841157, -11.506173483359989, -11.143585355387449, -14.450579367214708, -14.231933523866847, -14.020048470660102, -13.817650532941416, -13.626393849348368, -13.44718878188566]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6823672217741988,2.5239157673758745,0.5717660188674927,0.5500574707984924,0.5717660188674927,"[-29.03456838860439, -28.32928098947324, -27.596826607749833, -26.85122760783718, -23.952551965125075, -23.151469701717517, -22.347442986690517, -21.548288252062992, -20.76057520159912, -19.988459018421324]","[-29.03456838860439, -28.32928098947324, -27.596826607749833, -26.85122760783718, -23.952551965125075, -23.151469701717517, -22.347442986690517, -21.548288252062992, -20.76057520159912, -19.988459018421324]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.28031713,0.5651714
6,0.12,1320000000,15,17,0.5651714457652562,0.5651714457652562,0.669,0.35,0.6152995975734438,0.6783298880521033,0.5183575088193585,0.594140082144928,0.5183575088193585,"[-6.376322356269801, -5.896279201282588, -5.46909394227262, -12.597045644872173, -12.44673994218697, -12.31115766802469, -12.1875863669501, -12.073866473979756, -11.96845723365496, -11.87024845884407]","[-6.376322356269801, -5.896279201282588, -5.46909394227262, -12.597045644872173, -12.44673994218697, -12.31115766802469, -12.1875863669501, -12.073866473979756, -11.96845723365496, -11.87024845884407]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.7005267949395085,0.7162277872918957,0.514155924320221,0.5013654828071594,0.514155924320221,"[-24.25511121352286, -23.32156797231639, -22.420178583584168, -20.283098928939328, -19.469306578537825, -18.691838145446518, -17.94866934119387, -17.23788023446096, -16.557437952919877, -15.905659510894532]","[-24.25511121352286, -23.32156797231639, -22.420178583584168, -20.283098928939328, -19.469306578537825, -18.691838145446518, -17.94866934119387, -17.23788023446096, -16.557437952919877, -15.905659510894532]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.4527927,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.6026438928822813,0.8937199348967266,0.5211447894659962,0.5255264232351493,0.5211447894659962,"[-13.280520492879898, -13.126432378012172, -12.984663795362213, -13.288953163817332, -13.355136842650726, -13.412907585884707, -13.463793174338985, -13.508973360192524, -13.549319040740288, -13.585463750352893]","[-13.280520492879898, -13.126432378012172, -12.984663795362213, -13.288953163817332, -13.355136842650726, -13.412907585884707, -13.463793174338985, -13.508973360192524, -13.549319040740288, -13.585463750352893]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.7134357798574114,0.8236793057929829,0.5889643430709839,0.5717660188674927,0.5889643430709839,"[-19.235678896962956, -18.503996526922112, -17.794523834466748, -15.403542575486638, -14.749340573057916, -14.123080978541925, -13.524115600409925, -12.951604663192104, -12.406121619289332, -11.886317769437264]","[-19.235678896962956, -18.503996526922112, -17.794523834466748, -15.403542575486638, -14.749340573057916, -14.123080978541925, -13.524115600409925, -12.951604663192104, -12.406121619289332, -11.886317769437264]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.23006341,0.5651714
7,0.14,1340000000,16,18,0.5651714457652562,0.5651714457652562,0.669,0.35,0.6225864641693154,0.22975813468890446,0.5088472585953825,0.5183575088193585,0.5088472585953825,"[-11.77842395584619, -11.692360965360617, -11.611522929632315, -12.477887160760174, -12.62216967871152, -12.753314342320603, -12.873186426173671, -12.983327367066298, -13.085014107602197, -13.179344025661035]","[-11.77842395584619, -11.692360965360617, -11.611522929632315, -12.477887160760174, -12.62216967871152, -12.753314342320603, -12.873186426173671, -12.983327367066298, -13.085014107602197, -13.179344025661035]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6999856685184587,-0.4968366697068757,0.519095242023468,0.514155924320221,0.519095242023468,"[-15.28099271550023, -14.681915198265793, -14.106964255155003, -13.065443566554286, -12.453971615615172, -11.883957317110976, -11.352065122688316, -10.855246232512698, -10.39079503780891, -9.95628260118885]","[-15.28099271550023, -14.681915198265793, -14.106964255155003, -13.065443566554286, -12.453971615615172, -11.883957317110976, -11.352065122688316, -10.855246232512698, -10.39079503780891, -9.95628260118885]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.43769297,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.617156126937953,0.650407104406708,0.5412749267471615,0.5211447894659962,0.5412749267471615,"[-13.617861145952123, -13.646831065182193, -13.672598127528529, -11.700457538628552, -11.893778987135178, -12.065039086999468, -12.216920467246075, -12.351584796092185, -12.470698071233489, -12.575581492109567]","[-13.617861145952123, -13.646831065182193, -13.672598127528529, -11.700457538628552, -11.893778987135178, -12.065039086999468, -12.216920467246075, -12.351584796092185, -12.470698071233489, -12.575581492109567]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.7173150128217971,-0.21058782157880293,0.5672162175178528,0.5889643430709839,0.5672162175178528,"[-11.390793412977729, -10.918707640170105, -10.46948303218833, -12.196884207005484, -11.64504670858017, -11.139159030713811, -10.674289971041771, -10.246143780542212, -9.850804033082731, -9.484971350527259]","[-11.390793412977729, -10.918707640170105, -10.46948303218833, -12.196884207005484, -11.64504670858017, -11.139159030713811, -10.674289971041771, -10.246143780542212, -9.850804033082731, -9.484971350527259]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.29368946,0.5651714
8,0.16,1360000000,17,19,0.5651714457652562,0.5651714457652562,0.669,0.35,0.626865821428936,0.24913889616880341,0.5257391123369534,0.5088472585953825,0.5257391123369534,"[-13.26722175581125, -13.349379121440448, -13.426403037283722, -13.498760028770727, -11.892838627880392, -12.043204807537197, -12.18595564281464, -12.321488175610842, -12.45016790152911, -12.57233383731262]","[-13.26722175581125, -13.349379121440448, -13.426403037283722, -13.498760028770727, -11.892838627880392, -12.043204807537197, -12.18595564281464, -12.321488175610842, -12.45016790152911, -12.57233383731262]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.682999294022295,-1.060916737392573,0.5191419124603271,0.519095242023468,0.5191419124603271,"[-9.54952271085985, -9.168545501813812, -8.811580838966227, -8.477049501397522, -8.158892315810263, -7.698054624058366, -7.28503711712155, -6.914387241227521, -6.581753086788286, -6.283478206295987]","[-9.54952271085985, -9.168545501813812, -8.811580838966227, -8.477049501397522, -8.158892315810263, -7.698054624058366, -7.28503711712155, -6.914387241227521, -6.581753086788286, -6.283478206295987]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.43755054,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.6296123924733474,0.6203092004325248,0.5550646254986711,0.5412749267471615,0.5550646254986711,"[-12.667510847332549, -12.747757843402336, -12.817560681966148, -12.878102282242116, -11.56396085803587, -11.700386279863142, -11.821834375323846, -11.9306065251544, -12.028657939132373, -12.117648923245794]","[-12.667510847332549, -12.747757843402336, -12.817560681966148, -12.878102282242116, -11.56396085803587, -11.700386279863142, -11.821834375323846, -11.9306065251544, -12.028657939132373, -12.117648923245794]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.7066296410984572,-0.7402033128769413,0.5461054444313049,0.5672162175178528,0.5461054444313049,"[-9.145856737484825, -8.831050502254476, -8.538374319525289, -8.265762114510094, -10.10352266229182, -9.683862328595302, -9.309598061740632, -8.976382666687435, -8.680148823864446, -8.417202648161716]","[-9.145856737484825, -8.831050502254476, -8.538374319525289, -8.265762114510094, -10.10352266229182, -9.683862328595302, -9.309598061740632, -8.976382666687435, -8.680148823864446, -8.417202648161716]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.35623616,0.5651714
9,0.18,1380000000,18,20,0.5651714457652562,0.5651714457652562,0.669,0.35,0.6326361404524399,0.332072219015549,0.5313523823779234,0.5257391123369534,0.5313523823779234,"[-12.688304873235866, -12.798389608315992, -12.90287635586838, -13.002036299070314, -12.53986095940083, -12.704782811783094, -12.85751986781308, -12.99934316156003, -13.131360717229644, -13.25454125902756]","[-12.688304873235866, -12.798389608315992, -12.90287635586838, -13.002036299070314, -12.53986095940083, -12.704782811783094, -12.85751986781308, -12.99934316156003, -13.131360717229644, -13.25454125902756]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6593951322668035,-1.2494769088333788,0.5198033452033997,0.5191419124603271,0.5198033452033997,"[-6.016173962818686, -5.776951341775391, -5.563322202080246, -5.373121517170065, -5.13889907714119, -4.836520631081691, -4.578223155274352, -4.359195594494517, -4.175232106367487, -4.022649837146825]","[-6.016173962818686, -5.776951341775391, -5.563322202080246, -5.373121517170065, -5.13889907714119, -4.836520631081691, -4.578223155274352, -4.359195594494517, -4.175232106367487, -4.022649837146825]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.43553382,0.5651714,0.5651714457652562,0.5651714457652562,0.669,0.35,0.641445638649771,0.5767758024463643,0.5604490499248954,0.5550646254986711,0.5604490499248954,"[-12.198985967556977, -12.273855765706646, -12.34326542833397, -12.408055325995676, -11.935329458574008, -12.079160156157187, -12.211010401330268, -12.33259830169834, -12.445351129521306, -12.550452884651381]","[-12.198985967556977, -12.273855765706646, -12.34326542833397, -12.408055325995676, -11.935329458574008, -12.079160156157187, -12.211010401330268, -12.33259830169834, -12.445351129521306, -12.550452884651381]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",not_applicable_applied_sequence,0.6892812811560678,-0.951688528356266,0.5183696150779724,0.5461054444313049,0.5183696150779724,"[-8.184488045666331, -7.979270743358623, -7.799096380735195, -7.641757004391156, -10.253838316769937, -9.835722361472332, -9.473194618789353, -9.160399899973859, -8.89206553807854, -8.663457378182482]","[-8.184488045666331, -7.979270743358623, -7.799096380735195, -7.641757004391156, -10.253838316769937, -9.835722361472332, -9.473194618789353, -9.160399899973859, -8.89206553807854, -8.663457378182482]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-0.4399069,0.5651714
